id	geneSymbol	geneCoordinate
ENSG00000112200	ZNF451	chr6:56951442-57035305
ENSG00000112208	BAG2	chr6:57036924-57054831
ENSG00000112210	RAB23	chr6:57053407-57087278
ENSG00000112237	CCNC	chr6:99990056-100017049
ENSG00000112245	PTP4A1	chr6:64231466-64293692
ENSG00000112297	AIM1	chr6:106959530-107018526
ENSG00000112304	ACOT13	chr6:24667063-24705493
ENSG00000112308	C6orf62	chr6:24704889-24721264
ENSG00000112309	B3GAT2	chr6:71566182-71666941
ENSG00000112333	NR2E1	chr6:108487062-108510213
ENSG00000112406	HECA	chr6:139456049-139502139
ENSG00000112419	PHACTR2	chr6:143857782-144152522
ENSG00000112473	SLC39A7	chr6:33168022-33172416
ENSG00000112531	QKI	chr6:163834832-163999828
ENSG00000112562	SMOC2	chr6:168841631-169074184
ENSG00000112584	FAM120B	chr6:170599591-170716353
ENSG00000112640	PPP2R5D	chr6:42952037-42980280
ENSG00000112685	EXOC2	chr6:484933-693317
ENSG00000112697	TMEM30A	chr6:75962440-75994884
ENSG00000112699	GMDS	chr6:1623841-2246126
ENSG00000112701	SENP6	chr6:76311025-76428197
ENSG00000112706	IMPG1	chr6:76630632-76782595
ENSG00000112715	VEGFA	chr6:43737721-43754424
ENSG00000112739	PRPF4B	chr6:4021301-4065417
ENSG00000112761	WISP3	chr6:112375075-112392371
ENSG00000112769	LAMA4	chr6:112429763-112576341
ENSG00000112851	ERBB2IP	chr5:65222103-65378577
ENSG00000112893	MAN2A1	chr5:109024867-109205526
ENSG00000112936	C7	chr5:40909154-40983241
ENSG00000113013	HSPA9	chr5:137890371-137911333
ENSG00000113068	PFDN1	chr5:139624424-139682906
ENSG00000113083	LOX	chr5:121398690-121414180
ENSG00000113140	SPARC	chr5:151040457-151066926
ENSG00000113141	IK	chr5:140026443-140042264
ENSG00000113231	PDE8B	chr5:76506074-76725832
ENSG00000113262	GRM6	chr5:178405128-178423407
ENSG00000113273	ARSB	chr5:78072832-78282110
ENSG00000113282	CLINT1	chr5:157212551-157286383
ENSG00000113296	THBS4	chr5:79286934-79379310
ENSG00000113312	TTC1	chr5:159435920-159492750
ENSG00000113319	RASGRF2	chr5:80256291-80526175
ENSG00000113328	CCNG1	chr5:162864375-162873357
ENSG00000113356	POLR3G	chr5:89767365-89810570
ENSG00000113369	ARRDC3	chr5:90664341-90679376
ENSG00000113384	GOLPH3	chr5:32124610-32174656
ENSG00000113389	NPR3	chr5:32688976-32792019
ENSG00000113391	FAM172A	chr5:92953575-93447604
ENSG00000113407	TARS	chr5:33440602-33469844
ENSG00000113441	LNPEP	chr5:96270898-96373419
ENSG00000113448	PDE4D	chr5:58264665-59818147
ENSG00000113460	BRIX1	chr5:34915281-34926301
ENSG00000113552	GNPDA1	chr5:141371114-141392806
ENSG00000113555	PCDH12	chr5:141322950-141349504
ENSG00000113558	SKP1	chr5:133484433-133512929
ENSG00000113569	NUP155	chr5:37288039-37371483
ENSG00000113575	PPP2CA	chr5:133529825-133562033
ENSG00000113578	FGF1	chr5:141971543-142077817
ENSG00000113580	NR3C1	chr5:142657296-142815277
ENSG00000113593	PPWD1	chr5:64858863-64883576
ENSG00000113594	LIFR	chr5:38474865-38608656
ENSG00000113597	TRAPPC13	chr5:64920343-64962260
ENSG00000113648	H2AFY	chr5:134669390-134735804
ENSG00000113657	DPYSL3	chr5:146770174-146889819
ENSG00000113712	CSNK1A1	chr5:148871560-148931207
ENSG00000113716	HMGXB3	chr5:149379684-149432586
ENSG00000113721	PDGFRB	chr5:149493200-149535635
ENSG00000113742	CPEB4	chr5:173315083-173389179
ENSG00000113763	UNC5A	chr5:176237278-176308097
ENSG00000113790	EHHADH	chr3:184908212-184999978
ENSG00000113812	ACTR8	chr3:53900893-53916429
ENSG00000113845	TIMMDC1	chr3:119217179-119244137
ENSG00000113851	CRBN	chr3:3190476-3221594
ENSG00000114023	FAM162A	chr3:122102823-122131381
ENSG00000114026	OGG1	chr3:9791428-9830103
ENSG00000114030	KPNA1	chr3:122140596-122233992
ENSG00000114054	PCCB	chr3:135968948-136056938
ENSG00000114062	UBE3A	chr15:25582181-25684328
ENSG00000114115	RBP1	chr3:139236076-139258871
ENSG00000114315	HES1	chr3:193853734-193856721
ENSG00000114378	HYAL1	chr3:50337120-50350012
ENSG00000114391	RPL24	chr3:101399735-101405826
ENSG00000114395	CYB561D2	chr3:50387926-50396091
ENSG00000114416	FXR1	chr3:180585729-180700741
ENSG00000114439	BBX	chr3:107241583-107530371
ENSG00000114450	GNB4	chr3:179116790-179169578
ENSG00000114473	IQCG	chr3:197615746-197687213
ENSG00000114503	NCBP2	chr3:196662073-196669668
ENSG00000114573	ATP6V1A	chr3:113465666-113531103
ENSG00000114631	PODXL2	chr3:127347824-127391852
ENSG00000114646	CSPG5	chr3:47603529-47622482
ENSG00000114742	WDR48	chr3:39093289-39138355
ENSG00000114770	ABCC5	chr3:183637522-183736003
ENSG00000114779	ABHD14B	chr3:52002326-52017625
ENSG00000114790	ARHGEF26	chr3:153838592-153975816
ENSG00000114796	KLHL24	chr3:183353156-183402465
ENSG00000114850	SSR3	chr3:156257729-156273173
ENSG00000114853	ZBTB47	chr3:42694976-42709272
ENSG00000114857	NKTR	chr3:42641906-42690427
ENSG00000114859	CLCN2	chr3:184063773-184079639
ENSG00000114867	EIF4G1	chr3:184032083-184053346
ENSG00000114904	NEK4	chr3:52744600-52805165
ENSG00000114942	EEF1B2	chr2:207024109-207027852
ENSG00000114978	MOB1A	chr2:74379455-74406225
ENSG00000115042	FAHD2A	chr2:96068269-96082564
ENSG00000115053	NCL	chr2:232318042-232348552
ENSG00000115091	ACTR3	chr2:114647337-114720373
ENSG00000115129	TP53I3	chr2:24300103-24308931
ENSG00000115145	STAM2	chr2:152973115-153032706
ENSG00000115183	TANC1	chr2:159824946-160089370
ENSG00000115211	EIF2B4	chr2:27587019-27593553
ENSG00000115216	NRBP1	chr2:27650457-27665326
ENSG00000115241	PPM1G	chr2:27603861-27632754
ENSG00000115266	APC2	chr19:1446100-1473443
ENSG00000115268	RPS15	chr19:1438158-1440783
ENSG00000115275	MOGS	chr2:74687984-74692737
ENSG00000115295	CLIP4	chr2:29320371-29412709
ENSG00000115306	SPTBN1	chr2:54683222-54897012
ENSG00000115310	RTN4	chr2:55199125-55339957
ENSG00000115318	LOXL3	chr2:74759341-74783017
ENSG00000115353	TACR1	chr2:75273390-75427026
ENSG00000115355	CCDC88A	chr2:55514778-55647257
ENSG00000115364	MRPL19	chr2:75873709-75918177
ENSG00000115380	EFEMP1	chr2:56092902-56151474
ENSG00000115392	FANCL	chr2:58386178-58468707
ENSG00000115414	FN1	chr2:216224963-216301095
ENSG00000115415	STAT1	chr2:191828884-191885886
ENSG00000115419	GLS	chr2:191745353-191830478
ENSG00000115459	ELMOD3	chr2:85581317-85619075
ENSG00000115461	IGFBP5	chr2:217536628-217560448
ENSG00000115464	USP34	chr2:61414398-61698104
ENSG00000115474	KCNJ13	chr2:233630974-233641478
ENSG00000115486	GGCX	chr2:85771646-85788870
ENSG00000115524	SF3B1	chr2:198254308-198300015
ENSG00000115525	ST3GAL5	chr2:86066067-86116337
ENSG00000115548	KDM3A	chr2:86667570-86720039
ENSG00000115556	PLCD4	chr2:219472288-219502107
ENSG00000115561	CHMP3	chr2:86730354-86948445
ENSG00000115568	ZNF142	chr2:219502439-219524578
ENSG00000115594	IL1R1	chr2:102680804-102796534
ENSG00000115641	FHL2	chr2:105973969-106055170
ENSG00000115648	MLPH	chr2:238393871-238464161
ENSG00000115649	CNPPD1	chr2:220036419-220043028
ENSG00000115677	HDLBP	chr2:242166479-242256676
ENSG00000115685	PPP1R7	chr2:242088791-242123267
ENSG00000115694	STK25	chr2:242431889-242449345
ENSG00000115760	BIRC6	chr2:32581896-32844166
ENSG00000115762	PLEKHB2	chr2:131862220-132111482
ENSG00000115816	CEBPZ	chr2:37428555-37459056
ENSG00000115825	PRKD3	chr2:37477445-37552151
ENSG00000115839	RAB3GAP1	chr2:135809635-135934164
ENSG00000115884	SDC1	chr2:20400358-20425394
ENSG00000115896	PLCL1	chr2:198669226-199437505
ENSG00000115902	SLC1A4	chr2:65215411-65251199
ENSG00000115904	SOS1	chr2:39208337-39351686
ENSG00000115993	TRAK2	chr2:202241730-202316502
ENSG00000116005	PCYOX1	chr2:70484318-70508523
ENSG00000116016	EPAS1	chr2:46520606-46614036
ENSG00000116030	SUMO1	chr2:203070703-203103531
ENSG00000116032	GRIN3B	chr19:1000218-1009931
ENSG00000116044	NFE2L2	chr2:178092123-178257625
ENSG00000116062	MSH6	chr2:47922469-48037440
ENSG00000116128	BCL9	chr1:147012982-147098217
ENSG00000116132	PRRX1	chr1:170631669-170708760
ENSG00000116161	CACYBP	chr1:174968100-174981051
ENSG00000116171	SCP2	chr1:53392701-53517575
ENSG00000116194	ANGPTL1	chr1:178818640-178840387
ENSG00000116199	FAM20B	chr1:178994739-179045897
ENSG00000116209	TMEM59	chr1:54497147-54519377
ENSG00000116237	ICMT	chr1:6281053-6296232
ENSG00000116251	RPL22	chr1:6241129-6269649
ENSG00000116350	SRSF4	chr1:29474055-29508699
ENSG00000116406	EDEM3	chr1:184659165-184724247
ENSG00000116459	ATP5F1	chr1:111991286-112005595
ENSG00000116478	HDAC1	chr1:32757487-32799436
ENSG00000116489	CAPZA1	chr1:113161595-113214441
ENSG00000116525	TRIM62	chr1:33610803-33647860
ENSG00000116539	ASH1L	chr1:155304859-155532798
ENSG00000116560	SFPQ	chr1:35641779-35658949
ENSG00000116574	RHOU	chr1:228870624-228882616
ENSG00000116580	GON4L	chr1:155719308-155829391
ENSG00000116584	ARHGEF2	chr1:155916430-155977061
ENSG00000116641	DOCK7	chr1:62920199-63154169
ENSG00000116667	C1orf21	chr1:184355992-184598354
ENSG00000116668	SWT1	chr1:185126012-185261097
ENSG00000116678	LEPR	chr1:65886048-66107442
ENSG00000116679	IVNS1ABP	chr1:185265320-185286661
ENSG00000116717	GADD45A	chr1:68150544-68154221
ENSG00000116729	WLS	chr1:68563942-68699003
ENSG00000116741	RGS2	chr1:192777969-192781603
ENSG00000116745	RPE65	chr1:68894305-68915842
ENSG00000116747	TROVE2	chr1:193028352-193061107
ENSG00000116750	UCHL5	chr1:192981180-193029437
ENSG00000116754	SRSF11	chr1:70671165-70718935
ENSG00000116771	AGMAT	chr1:15898648-15911805
ENSG00000116774	OLFML3	chr1:114521863-114525076
ENSG00000116791	CRYZ	chr1:75170970-75199292
ENSG00000116793	PHTF1	chr1:114239253-114302311
ENSG00000116809	ZBTB17	chr1:16268164-16302827
ENSG00000116863	ADPRHL2	chr1:36554276-36559733
ENSG00000116871	MAP7D1	chr1:36620980-36646650
ENSG00000116957	TBCE	chr1:235530475-235612483
ENSG00000116962	NID1	chr1:236138930-236228662
ENSG00000116977	LGALS8	chr1:236681100-236716481
ENSG00000116984	MTR	chr1:236958410-237067481
ENSG00000116985	BMP8B	chr1:40222654-40254733
ENSG00000117020	AKT3	chr1:243651335-244014581
ENSG00000117091	CD48	chr1:160648336-160681841
ENSG00000117151	CTBS	chr1:85015089-85040363
ENSG00000117242	PINK1-AS	chr1:20968950-20978886
ENSG00000117281	CD160	chr1:145695598-145715814
ENSG00000117289	TXNIP	chr1:145438269-145442835
ENSG00000117298	ECE1	chr1:21543540-21672197
ENSG00000117335	CD46	chr1:207925202-207969058
ENSG00000117362	APH1A	chr1:150237604-150242180
ENSG00000117394	SLC2A1	chr1:43390852-43424730
ENSG00000117450	PRDX1	chr1:45976508-45988919
ENSG00000117461	PIK3R3	chr1:46505612-46642360
ENSG00000117500	TMED5	chr1:93615099-93646485
ENSG00000117519	CNN3	chr1:95362307-95393034
ENSG00000117523	PRRC2C	chr1:171454451-171562850
ENSG00000117525	F3	chr1:94994581-95007556
ENSG00000117528	ABCD3	chr1:94883733-94984422
ENSG00000117533	VAMP4	chr1:171669100-171711587
ENSG00000117593	DARS2	chr1:173793441-173827884
ENSG00000117614	SYF2	chr1:25548970-25559193
ENSG00000117616	C1orf63	chr1:25568528-25664904
ENSG00000117643	MAN1C1	chr1:25943759-26112898
ENSG00000117682	DHDDS	chr1:26758573-26797985
ENSG00000117791	MARC2	chr1:220921367-220958350
ENSG00000117834	SLC5A9	chr1:48688157-48714516
ENSG00000117859	OSBPL9	chr1:52042651-52255089
ENSG00000117862	TXNDC12	chr1:52485603-52522043
ENSG00000117877	CD3EAP	chr19:45909267-45914224
ENSG00000117899	MESDC2	chr15:81239467-81282419
ENSG00000117983	MUC5B	chr11:1244096-1283606
ENSG00000117984	CTSD	chr11:1773782-1785422
ENSG00000118007	STAG1	chr3:136054877-136471420
ENSG00000118046	STK11	chr19:1189206-1228628
ENSG00000118058	KMT2A	chr11:118307005-118397739
ENSG00000118094	TREH	chr11:118527826-118550599
ENSG00000118096	IFT46	chr11:118415043-118443885
ENSG00000118181	RPS25	chr11:118886222-118889601
ENSG00000118200	CAMSAP2	chr1:200708486-200830032
ENSG00000118217	ATF6	chr1:161735884-161934060
ENSG00000118257	NRP2	chr2:206546514-206663057
ENSG00000118260	CREB1	chr2:208394261-208468355
ENSG00000118271	TTR	chr18:29171489-29179174
ENSG00000118292	C1orf54	chr1:150240400-150253527
ENSG00000118298	CA14	chr1:150229354-150237678
ENSG00000118322	ATP10B	chr5:159989927-160279421
ENSG00000118369	USP35	chr11:77899658-77925957
ENSG00000118407	FILIP1	chr6:76001375-76203654
ENSG00000118412	CASP8AP2	chr6:90539413-90584355
ENSG00000118482	PHF3	chr6:64345525-64489429
ENSG00000118496	FBXO30	chr6:146114438-146136089
ENSG00000118515	SGK1	chr6:134490184-134639450
ENSG00000118518	RNF146	chr6:127587555-127609912
ENSG00000118523	CTGF	chr6:132269116-132272713
ENSG00000118689	FOXO3	chr6:108880838-109006177
ENSG00000118785	SPP1	chr4:88896619-88904762
ENSG00000118804	FAM47E-STBD1	chr4:77172686-77232952
ENSG00000118816	CCNI	chr4:77968111-77997358
ENSG00000118849	RARRES1	chr3:158414481-158450685
ENSG00000118855	MFSD1	chr3:158449787-158547708
ENSG00000118873	RAB3GAP2	chr1:220321435-220445996
ENSG00000118894	FAM86A	chr16:5134105-5148009
ENSG00000118898	PPL	chr16:4932308-5010942
ENSG00000118900	UBN1	chr16:4896466-4932561
ENSG00000118946	PCDH17	chr13:58205744-58303645
ENSG00000118971	CCND2	chr12:4382738-4414716
ENSG00000118976	HIN1L	chr12:3948425-3951891
ENSG00000119138	KLF9	chr9:72999303-73029740
ENSG00000119185	ITGB1BP1	chr2:9543404-9563876
ENSG00000119280	C1orf198	chr1:230972665-231005535
ENSG00000119318	RAD23B	chr9:110045218-110094675
ENSG00000119321	FKBP15	chr9:115923086-115983841
ENSG00000119326	CTNNAL1	chr9:111704651-111776009
ENSG00000119335	SET	chr9:131445503-131458879
ENSG00000119392	GLE1	chr9:131266779-131304767
ENSG00000119396	RAB14	chr9:123940215-123985492
ENSG00000119397	CNTRL	chr9:123836941-123940088
ENSG00000119408	NEK6	chr9:127019685-127115786
ENSG00000119471	HSDL2	chr9:115142017-115234890
ENSG00000119522	DENND1A	chr9:126141733-126692631
ENSG00000119537	KDSR	chr18:60994759-61034943
ENSG00000119541	VPS4B	chr18:61056223-61089916
ENSG00000119574	ZBTB45	chr19:59024697-59050478
ENSG00000119596	YLPM1	chr14:75229869-75322444
ENSG00000119608	PROX2	chr14:75319536-75330737
ENSG00000119630	PGF	chr14:75408337-75422687
ENSG00000119636	CCDC176	chr14:74485856-74549766
ENSG00000119669	IRF2BPL	chr14:77490688-77495234
ENSG00000119673	ACOT2	chr14:74034124-74042557
ENSG00000119681	LTBP2	chr14:74964673-75079506
ENSG00000119684	MLH3	chr14:75480267-75518435
ENSG00000119699	TGFB3	chr14:76424242-76449534
ENSG00000119707	RBM25	chr14:73524944-73588322
ENSG00000119711	ALDH6A1	chr14:74523353-74551396
ENSG00000119714	GPR68	chr14:91698676-91720469
ENSG00000119723	COQ6	chr14:74416429-74430573
ENSG00000119729	RHOQ	chr2:46768745-46810460
ENSG00000119760	SUPT7L	chr2:27873479-27886876
ENSG00000119771	KLHL29	chr2:23607888-23931681
ENSG00000119778	ATAD2B	chr2:23971334-24150184
ENSG00000119900	OGFRL1	chr6:71998306-72018853
ENSG00000119906	FAM178A	chr10:102672126-102725093
ENSG00000119927	GPAM	chr10:113909424-113975335
ENSG00000119950	MXI1	chr10:111967163-112047323
ENSG00000119953	SMNDC1	chr10:112050288-112064909
ENSG00000119979	FAM45A	chr10:120863398-120897696
ENSG00000120057	SFRP5	chr10:99526308-99531909
ENSG00000120093	HOXB3	chr17:46626032-46682474
ENSG00000120129	DUSP1	chr5:172194893-172198398
ENSG00000120137	PANK3	chr5:167975300-168006805
ENSG00000120215	MLANA	chr9:5890602-5910806
ENSG00000120256	LRP11	chr6:150139734-150186399
ENSG00000120265	PCMT1	chr6:150070379-150132756
ENSG00000120306	CYSTM1	chr5:139554027-139661837
ENSG00000120333	MRPS14	chr1:174979725-174992761
ENSG00000120438	TCP1	chr6:160199330-160210981
ENSG00000120526	NUDCD1	chr8:110252948-110346814
ENSG00000120594	PLXDC2	chr10:20104968-20578985
ENSG00000120647	CCDC77	chr12:498239-552011
ENSG00000120686	UFM1	chr13:38923786-38937340
ENSG00000120688	WBP4	chr13:41635210-41658337
ENSG00000120690	ELF1	chr13:41505856-41635776
ENSG00000120693	SMAD9	chr13:37418768-37495102
ENSG00000120694	HSPH1	chr13:31710562-31736725
ENSG00000120696	KBTBD7	chr13:41763769-41768902
ENSG00000120708	TGFBI	chr5:135364384-135399707
ENSG00000120725	SIL1	chr5:138282209-138629446
ENSG00000120729	MYOT	chr5:137203280-137223740
ENSG00000120733	KDM3B	chr5:137688085-137772917
ENSG00000120742	SERP1	chr3:150259581-150321215
ENSG00000120800	UTP20	chr12:101673687-101780594
ENSG00000120805	ARL1	chr12:101786698-101801798
ENSG00000120832	MTERFD3	chr12:107370869-107381144
ENSG00000120833	SOCS2	chr12:93963390-93977463
ENSG00000120837	NFYB	chr12:104510655-104532267
ENSG00000120868	APAF1	chr12:99038719-99129404
ENSG00000120875	DUSP4	chr8:29190381-29208385
ENSG00000120885	CLU	chr8:27454234-27472748
ENSG00000120889	TNFRSF10B	chr8:22877446-22926892
ENSG00000120963	ZNF706	chr8:102189906-102218621
ENSG00000121039	RDH10	chr8:74206647-74237716
ENSG00000121067	SPOP	chr17:47676046-47755796
ENSG00000121068	TBX2	chr17:59477057-59487027
ENSG00000121101	TEX14	chr17:56633839-56769616
ENSG00000121207	LRAT	chr4:155547897-155674470
ENSG00000121310	ECHDC2	chr1:53361456-53393084
ENSG00000121316	PLBD1	chr12:14656395-14721483
ENSG00000121350	PYROXD1	chr12:21590349-21623500
ENSG00000121406	ZNF549	chr19:58038493-58069110
ENSG00000121413	ZSCAN18	chr19:58595005-58629994
ENSG00000121440	PDZRN3	chr3:73431384-73674291
ENSG00000121454	LHX4	chr1:180199221-180249580
ENSG00000121741	ZMYM2	chr13:20532610-20666168
ENSG00000121766	ZCCHC17	chr1:31769642-31837983
ENSG00000121769	FABP3	chr1:31838272-31849897
ENSG00000121774	KHDRBS1	chr1:32479230-32526651
ENSG00000121848	RNF115	chr1:145610836-145696418
ENSG00000121851	POLR3GL	chr1:145456036-145470588
ENSG00000121879	PIK3CA	chr3:178865702-178958081
ENSG00000121892	PDS5A	chr4:39824283-39979776
ENSG00000121898	CPXM2	chr10:125465523-125699983
ENSG00000121940	CLCC1	chr1:109471930-109506311
ENSG00000121957	GPSM2	chr1:109417772-109477367
ENSG00000121964	GTDC1	chr2:144695435-145090335
ENSG00000121988	ZRANB3	chr2:135894286-136289006
ENSG00000121989	ACVR2A	chr2:148601886-148688593
ENSG00000122026	RPL21	chr13:27825246-27831028
ENSG00000122034	GTF3A	chr13:27998481-28010158
ENSG00000122085	MTERFD2	chr2:242011384-242041947
ENSG00000122218	COPA	chr1:160258863-160313390
ENSG00000122257	RBBP6	chr16:24548814-24584384
ENSG00000122367	LDB3	chr10:88428006-88496025
ENSG00000122376	FAM35A	chr10:88853718-88951425
ENSG00000122378	FAM213A	chr10:82167385-82192953
ENSG00000122406	RPL5	chr1:93297382-93307681
ENSG00000122432	SPATA1	chr1:84971774-85032077
ENSG00000122435	TRMT13	chr1:100598506-100616253
ENSG00000122482	ZNF644	chr1:91380659-91488029
ENSG00000122483	CCDC18	chr1:93645276-93744487
ENSG00000122490	PQLC1	chr18:77662220-77711864
ENSG00000122545	SEPT7	chr7:35840342-35945117
ENSG00000122548	KIAA0087	chr7:26572540-26578607
ENSG00000122550	KLHL7	chr7:23145153-23217733
ENSG00000122566	HNRNPA2B1	chr7:26229347-26241349
ENSG00000122591	FAM126A	chr7:22980678-23053949
ENSG00000122642	FKBP9	chr7:32996817-33046743
ENSG00000122692	SMU1	chr9:33041562-33076865
ENSG00000122696	SLC25A51	chr9:37879200-37904550
ENSG00000122729	ACO1	chr9:32384418-32454967
ENSG00000122741	DCAF10	chr9:37800299-37867863
ENSG00000122783	C7orf49	chr7:134776915-134855747
ENSG00000122786	CALD1	chr7:134428803-134655679
ENSG00000122862	SRGN	chr10:70847662-70864767
ENSG00000122965	RBM19	chr12:114254343-114404376
ENSG00000122971	ACADS	chr12:121163338-121178011
ENSG00000123080	CDKN2C	chr1:51426217-51440505
ENSG00000123091	RNF11	chr1:51701743-51739327
ENSG00000123094	RASSF8	chr12:26111762-26233025
ENSG00000123095	BHLHE41	chr12:26272759-26278260
ENSG00000123096	SSPN	chr12:26274724-26452423
ENSG00000123104	ITPR2	chr12:26490142-26986331
ENSG00000123119	NECAB1	chr8:91803578-91971836
ENSG00000123124	WWP1	chr8:87354767-87490849
ENSG00000123144	C19orf43	chr19:12841254-12845789
ENSG00000123154	WDR83	chr19:12777414-12786846
ENSG00000123200	ZC3H13	chr13:46528400-46627094
ENSG00000123329	ARHGAP9	chr12:57865838-57882797
ENSG00000123342	MMP19	chr12:56229017-56236950
ENSG00000123349	PFDN5	chr12:53688875-53693434
ENSG00000123353	ORMDL2	chr12:56211503-56215863
ENSG00000123374	CDK2	chr12:56360353-56366768
ENSG00000123384	LRP1	chr12:57522076-57607334
ENSG00000123416	TUBA1B	chr12:49521365-49525380
ENSG00000123444	KBTBD4	chr11:47593549-47600767
ENSG00000123454	DBH	chr9:136501282-136524666
ENSG00000123500	COL10A1	chr6:116439886-116480110
ENSG00000123552	USP45	chr6:99879990-99969804
ENSG00000123562	MORF4L2	chrX:102930224-102943286
ENSG00000123636	BAZ2B	chr2:160175290-160473403
ENSG00000123684	LPGAT1	chr1:211916599-212004314
ENSG00000123737	EXOSC9	chr4:122722272-122738376
ENSG00000123836	PFKFB2	chr1:207222601-207254569
ENSG00000123983	ACSL3	chr2:223725452-223809557
ENSG00000124006	OBSL1	chr2:220415251-220436781
ENSG00000124067	SLC12A4	chr16:67977177-68003704
ENSG00000124074	ENKD1	chr16:67696648-67701368
ENSG00000124091	GCNT7	chr20:55066348-55101181
ENSG00000124104	SNX21	chr20:44462249-44472114
ENSG00000124120	TTPAL	chr20:43104326-43123444
ENSG00000124145	SDC4	chr20:43953728-43977264
ENSG00000124151	NCOA3	chr20:46130401-46285821
ENSG00000124164	VAPB	chr20:56963978-57026357
ENSG00000124177	CHD6	chr20:40030541-40247333
ENSG00000124198	ARFGEF2	chr20:47538227-47653430
ENSG00000124201	ZNFX1	chr20:47854283-47895163
ENSG00000124214	STAU1	chr20:47729678-47805104
ENSG00000124243	BCAS4	chr20:49411231-49493914
ENSG00000124279	FASTKD3	chr5:7859072-7869350
ENSG00000124343	XG	chrX:2669891-2734739
ENSG00000124357	NAGK	chr2:71291274-71307135
ENSG00000124422	USP22	chr17:20902710-20947273
ENSG00000124486	USP9X	chrX:40944688-41096032
ENSG00000124491	F13A1	chr6:6144118-6321446
ENSG00000124535	WRNIP1	chr6:2765448-2787386
ENSG00000124571	XPO5	chr6:43489872-43544012
ENSG00000124588	NQO2	chr6:2988021-3020196
ENSG00000124593	PRICKLE4	chr6:41747887-41758079
ENSG00000124613	ZNF391	chr6:27342194-27371883
ENSG00000124701	APOBEC2	chr6:41020843-41032450
ENSG00000124766	SOX4	chr6:21593772-21599047
ENSG00000124767	GLO1	chr6:38643501-38671117
ENSG00000124782	RREB1	chr6:7107630-7252413
ENSG00000124783	SSR1	chr6:7268339-7347879
ENSG00000124788	ATXN1	chr6:16299143-16761922
ENSG00000124795	DEK	chr6:18223899-18265254
ENSG00000124813	RUNX2	chr6:45295694-45632286
ENSG00000124831	LRRFIP1	chr2:238536019-238722525
ENSG00000124915	RP11-467L20.10	chr11:61513765-61525327
ENSG00000124920	MYRF	chr11:61519914-61556190
ENSG00000124942	AHNAK	chr11:62200816-62323907
ENSG00000125037	EMC3	chr3:10004021-10053000
ENSG00000125107	CNOT1	chr16:58553655-58663990
ENSG00000125149	C16orf70	chr16:67143661-67182642
ENSG00000125245	GPR18	chr13:99906768-99914198
ENSG00000125347	IRF1	chr5:131817101-131826690
ENSG00000125352	RNF113A	chrX:119004297-119005991
ENSG00000125375	ATP5S	chr14:50778844-50802476
ENSG00000125378	BMP4	chr14:54416254-54425679
ENSG00000125384	PTGER2	chr14:52780823-52795524
ENSG00000125447	GGA3	chr17:73232494-73258644
ENSG00000125449	ARMC7	chr17:73105847-73126560
ENSG00000125457	MIF4GD	chr17:73262109-73267508
ENSG00000125503	PPP1R12C	chr19:55602081-55629127
ENSG00000125618	PAX8	chr2:113973374-114036727
ENSG00000125630	POLR1B	chr2:113299292-113334835
ENSG00000125650	PSPN	chr19:6374959-6379269
ENSG00000125651	GTF2F1	chr19:6379380-6394192
ENSG00000125676	THOC2	chrX:122734212-122867106
ENSG00000125686	MED1	chr17:37560338-37607739
ENSG00000125691	RPL23	chr17:37003918-37010296
ENSG00000125730	C3	chr19:6677515-6730773
ENSG00000125731	SH2D3A	chr19:6751971-6767799
ENSG00000125743	SNRPD2	chr19:46190512-46196027
ENSG00000125810	CD93	chr20:23059786-23067177
ENSG00000125812	GZF1	chr20:23342587-23353900
ENSG00000125817	CENPB	chr20:3764298-3767537
ENSG00000125827	TMX4	chr20:7957795-8000676
ENSG00000125844	RRBP1	chr20:17594123-17663140
ENSG00000125848	FLRT3	chr20:14303434-14318462
ENSG00000125868	DSTN	chr20:17550308-17590764
ENSG00000125895	TMEM74B	chr20:1161005-1166259
ENSG00000125944	HNRNPR	chr1:23630064-23671029
ENSG00000125966	MMP24	chr20:33814257-33865001
ENSG00000125970	RALY	chr20:32581252-32696314
ENSG00000125971	DYNLRB1	chr20:33104014-33128962
ENSG00000125977	EIF2S2	chr20:32675904-32700338
ENSG00000126062	TMEM115	chr3:50391980-50397241
ENSG00000126106	TMEM53	chr1:45100710-45140427
ENSG00000126214	KLC1	chr14:104028033-104168088
ENSG00000126215	XRCC3	chr14:104163746-104182041
ENSG00000126217	MCF2L	chr13:113548492-113754253
ENSG00000126218	F10	chr13:113776928-113804043
ENSG00000126351	THRA	chr17:38214343-38250320
ENSG00000126353	CCR7	chr17:38709821-38721924
ENSG00000126368	NR1D1	chr17:38248840-38257178
ENSG00000126391	FRMD8	chr11:65153870-65181196
ENSG00000126461	SCAF1	chr19:50145182-50162099
ENSG00000126500	FLRT1	chr11:63870460-63886845
ENSG00000126524	SBDS	chr7:66452464-66460788
ENSG00000126561	STAT5A	chr17:40439365-40464161
ENSG00000126603	GLIS2	chr16:4364562-4389798
ENSG00000126698	DNAJC8	chr1:28525767-28559736
ENSG00000126749	EMG1	chr12:7072208-7105720
ENSG00000126775	ATG14	chr14:55832910-55878776
ENSG00000126777	KTN1	chr14:56025590-56168444
ENSG00000126814	TRMT5	chr14:61437969-61448276
ENSG00000126838	PZP	chr12:9301236-9361166
